route_highway_2_x,route_highway_2_y,route_highway_1_x,route_highway_1_y,route_highway_0_x,route_highway_0_y,route_merging_0_x,route_merging_0_y,route_merging_1_x,route_merging_1_y,others_x,others_y
216598.92,452568.18,216595.73,452568,216592.53,452567.8,216487.88,452460.59,216487.98,452463.79,1,1
216598.98,452567.19,216595.79,452567.01,216592.59,452566.81,216488.87,452460.57,216488.98,452463.76,1,1
216599.04,452566.2,216595.85,452566.02,216592.65,452565.82,216489.85,452460.55,216489.97,452463.74,1,1
216599.1,452565.21,216595.91,452565.04,216592.71,452564.83,216490.84,452460.53,216490.96,452463.72,1,1
216599.16,452564.23,216595.97,452564.05,216592.77,452563.84,216491.84,452460.51,216491.96,452463.7,1,1
216599.22,452563.24,216596.03,452563.06,216592.83,452562.86,216492.83,452460.49,216492.95,452463.68,1,1
216599.28,452562.24,216596.09,452562.06,216592.89,452561.87,216493.82,452460.47,216493.95,452463.66,1,1
216599.34,452561.25,216596.15,452561.08,216592.95,452560.87,216494.81,452460.44,216494.95,452463.64,1,1
216599.4,452560.25,216596.21,452560.09,216593.01,452559.88,216495.8,452460.42,216495.94,452463.62,1,1
216599.47,452559.25,216596.27,452559.09,216593.07,452558.89,216496.79,452460.4,216496.94,452463.6,1,1
216599.53,452558.26,216596.33,452558.11,216593.13,452557.9,216497.78,452460.38,216497.94,452463.58,1,1
216599.59,452557.28,216596.39,452557.12,216593.19,452556.91,216498.76,452460.36,216498.94,452463.56,1,1
216599.65,452556.29,216596.45,452556.13,216593.25,452555.92,216499.75,452460.36,216499.93,452463.56,1,1
216599.71,452555.29,216596.51,452555.14,216593.31,452554.94,216500.74,452460.36,216500.93,452463.56,1,1
216599.77,452554.3,216596.57,452554.15,216593.37,452553.95,216501.73,452460.36,216501.93,452463.56,1,1
216599.83,452553.3,216596.63,452553.16,216593.43,452552.95,216502.72,452460.36,216502.93,452463.56,1,1
216599.89,452552.31,216596.69,452552.17,216593.49,452551.95,216503.7,452460.36,216503.92,452463.56,1,1
216599.95,452551.33,216596.75,452551.17,216593.55,452550.97,216504.68,452460.36,216504.92,452463.56,1,1
216600.01,452550.34,216596.81,452550.18,216593.61,452549.98,216505.67,452460.36,216505.92,452463.56,1,1
216600.07,452549.35,216596.87,452549.18,216593.67,452548.99,216506.65,452460.36,216506.92,452463.56,1,1
216600.13,452548.36,216596.93,452548.19,216593.73,452547.99,216507.63,452460.36,216507.92,452463.56,1,1
216600.19,452547.37,216596.99,452547.2,216593.79,452547.01,216508.62,452460.36,216508.91,452463.56,1,1
216600.25,452546.37,216597.05,452546.21,216593.85,452546.01,216509.61,452460.36,216509.9,452463.56,1,1
216600.31,452545.38,216597.11,452545.22,216593.91,452545.02,216510.59,452460.36,216510.9,452463.56,1,1
216600.37,452544.39,216597.17,452544.24,216593.97,452544.03,216511.58,452460.35,216511.89,452463.55,1,1
216600.43,452543.39,216597.23,452543.25,216594.03,452543.04,216512.57,452460.35,216512.89,452463.55,1,1
216600.48,452542.39,216597.28,452542.27,216594.08,452542.06,216513.56,452460.35,216513.89,452463.55,1,1
216600.53,452541.4,216597.33,452541.28,216594.13,452541.06,216514.55,452460.35,216514.88,452463.55,1,1
216600.57,452540.4,216597.37,452540.28,216594.17,452540.08,216515.55,452460.35,216515.88,452463.55,1,1
216600.61,452539.41,216597.41,452539.29,216594.21,452539.08,216516.54,452460.35,216516.88,452463.55,1,1
216600.66,452538.42,216597.45,452538.3,216594.26,452538.1,216517.53,452460.35,216517.88,452463.55,1,1
216600.7,452537.43,216597.5,452537.31,216594.3,452537.11,216518.53,452460.35,216518.88,452463.55,1,1
216600.74,452536.43,216597.54,452536.32,216594.34,452536.11,216519.51,452460.35,216519.87,452463.55,1,1
216600.79,452535.44,216597.58,452535.32,216594.39,452535.12,216520.51,452460.35,216520.87,452463.55,1,1
216600.83,452534.44,216597.63,452534.33,216594.43,452534.13,216521.5,452460.35,216521.88,452463.55,1,1
216600.87,452533.45,216597.67,452533.34,216594.47,452533.14,216522.5,452460.35,216522.88,452463.55,1,1
216600.92,452532.46,216597.71,452532.36,216594.52,452532.15,216523.48,452460.35,216523.87,452463.55,1,1
216600.96,452531.47,216597.76,452531.37,216594.56,452531.16,216524.47,452460.34,216524.86,452463.53,1,1
216601,452530.48,216597.8,452530.37,216594.6,452530.16,216525.46,452460.31,216525.85,452463.49,1,1
216601.05,452529.48,216597.84,452529.38,216594.64,452529.18,216526.44,452460.27,216526.85,452463.46,1,1
216601.09,452528.48,216597.89,452528.39,216594.69,452528.19,216527.43,452460.24,216527.84,452463.43,1,1
216601.13,452527.49,216597.93,452527.4,216594.73,452527.19,216528.41,452460.21,216528.84,452463.39,1,1
216601.18,452526.49,216597.97,452526.4,216594.77,452526.21,216529.4,452460.17,216529.84,452463.36,1,1
216601.22,452525.49,216598.02,452525.41,216594.82,452525.22,216530.38,452460.14,216530.84,452463.32,1,1
216601.26,452524.49,216598.06,452524.42,216594.86,452524.23,216531.37,452460.11,216531.83,452463.29,1,1
216601.31,452523.5,216598.1,452523.42,216594.9,452523.24,216532.37,452460.07,216532.82,452463.26,1,1
216601.35,452522.5,216598.14,452522.43,216594.95,452522.25,216533.36,452460.04,216533.83,452463.22,1,1
216601.39,452521.5,216598.19,452521.44,216594.99,452521.26,216534.35,452460.01,216534.83,452463.19,1,1
216601.43,452520.52,216598.23,452520.45,216595.03,452520.28,216535.33,452459.98,216535.83,452463.16,1,1
216601.48,452519.52,216598.27,452519.46,216595.07,452519.29,216536.32,452459.94,216536.82,452463.12,1,1
216601.52,452518.53,216598.32,452518.47,216595.12,452518.3,216537.3,452459.91,216537.81,452463.09,1,1
216601.56,452517.54,216598.36,452517.48,216595.16,452517.3,216538.28,452459.88,216538.8,452463.05,1,1
216601.61,452516.55,216598.4,452516.48,216595.2,452516.32,216539.28,452459.84,216539.8,452463.02,1,1
216601.65,452515.56,216598.45,452515.49,216595.25,452515.33,216540.26,452459.81,216540.8,452462.99,1,1
216601.69,452514.57,216598.49,452514.5,216595.29,452514.34,216541.25,452459.78,216541.79,452462.95,1,1
216601.74,452513.57,216598.53,452513.5,216595.33,452513.35,216542.23,452459.74,216542.78,452462.92,1,1
216601.78,452512.57,216598.58,452512.52,216595.38,452512.36,216543.22,452459.71,216543.78,452462.89,1,1
216601.82,452511.58,216598.62,452511.53,216595.42,452511.36,216544.21,452459.68,216544.78,452462.85,1,1
216601.87,452510.58,216598.66,452510.54,216595.46,452510.37,216545.19,452459.64,216545.77,452462.82,1,1
216601.91,452509.59,216598.71,452509.54,216595.51,452509.38,216546.17,452459.57,216546.76,452462.71,1,1
216601.95,452508.6,216598.75,452508.54,216595.55,452508.39,216547.14,452459.37,216547.74,452462.51,1,1
216602,452507.61,216598.79,452507.55,216595.59,452507.4,216548.11,452459.17,216548.71,452462.3,1,1
216602.04,452506.61,216598.83,452506.56,216595.63,452506.41,216549.08,452458.96,216549.69,452462.1,1,1
216602.08,452505.62,216598.88,452505.57,216595.68,452505.43,216550.05,452458.76,216550.66,452461.9,1,1
216602.13,452504.62,216598.92,452504.58,216595.72,452504.44,216551.01,452458.56,216551.63,452461.7,1,1
216602.17,452503.63,216598.96,452503.6,216595.76,452503.45,216551.98,452458.36,216552.61,452461.49,1,1
216602.21,452502.64,216599.01,452502.6,216595.81,452502.47,216552.95,452458.16,216553.59,452461.29,1,1
216602.25,452501.65,216599.05,452501.6,216595.85,452501.49,216553.92,452457.95,216554.56,452461.08,1,1
216602.3,452500.66,216599.09,452500.61,216595.89,452500.5,216554.89,452457.75,216555.53,452460.88,1,1
216602.34,452499.66,216599.14,452499.62,216595.94,452499.51,216555.85,452457.55,216556.51,452460.68,1,1
216602.38,452498.67,216599.18,452498.63,216595.98,452498.51,216556.81,452457.35,216557.48,452460.48,1,1
216602.43,452497.68,216599.22,452497.63,216596.02,452497.51,216557.78,452457.15,216558.45,452460.28,1,1
216602.47,452496.69,216599.27,452496.64,216596.07,452496.53,216558.75,452456.95,216559.44,452460.07,1,1
216602.51,452495.7,216599.31,452495.64,216596.11,452495.53,216559.57,452456.72,216560.54,452459.77,1,1
216602.56,452494.71,216599.35,452494.65,216596.15,452494.54,216560.49,452456.45,216561.52,452459.48,1,1
216602.6,452493.71,216599.4,452493.66,216596.19,452493.55,216561.41,452456.19,216562.51,452459.2,1,1
216602.64,452492.72,216599.44,452492.67,216596.24,452492.55,216562.34,452455.92,216563.49,452458.92,1,1
216602.69,452491.72,216599.48,452491.67,216596.28,452491.57,216563.27,452455.65,216564.48,452458.63,1,1
216602.73,452490.73,216599.53,452490.68,216596.32,452490.58,216564.18,452455.39,216565.47,452458.35,1,1
216602.77,452489.74,216599.57,452489.68,216596.37,452489.59,216565.08,452455.08,216566.43,452457.99,1,1
216602.81,452488.75,216599.61,452488.69,216596.41,452488.61,216565.98,452454.74,216567.39,452457.63,1,1
216602.86,452487.76,216599.66,452487.69,216596.45,452487.61,216566.88,452454.4,216568.34,452457.27,1,1
216602.9,452486.77,216599.7,452486.7,216596.5,452486.62,216567.78,452454.07,216569.3,452456.91,1,1
216602.94,452485.77,216599.74,452485.7,216596.54,452485.63,216568.68,452453.73,216570.26,452456.55,1,1
216602.99,452484.78,216599.78,452484.71,216596.58,452484.64,216569.57,452453.4,216571.22,452456.2,1,1
216603.03,452483.79,216599.83,452483.72,216596.63,452483.65,216570.47,452453.06,216572.18,452455.83,1,1
216603.07,452482.79,216599.87,452482.72,216596.67,452482.65,216571.37,452452.72,216573.14,452455.48,1,1
216603.12,452481.8,216599.91,452481.73,216596.71,452481.66,216572.24,452452.32,216574.02,452454.98,1,1
216603.16,452480.81,216599.96,452480.74,216596.76,452480.66,216573.01,452451.74,216574.84,452454.37,1,1
216603.2,452479.82,216600,452479.75,216596.8,452479.68,216573.78,452451.17,216575.66,452453.76,1,1
216603.25,452478.83,216600.04,452478.77,216596.84,452478.69,216574.55,452450.59,216576.48,452453.15,1,1
216603.29,452477.84,216600.09,452477.78,216596.88,452477.7,216575.32,452450.02,216577.31,452452.53,1,1
216603.33,452476.85,216600.13,452476.79,216596.93,452476.71,216576.09,452449.45,216578.13,452451.92,1,1
216603.38,452475.85,216600.17,452475.79,216596.97,452475.72,216576.86,452448.88,216578.96,452451.31,1,1
216603.42,452474.86,216600.22,452474.79,216597.01,452474.74,216577.64,452448.3,216579.78,452450.7,1,1
216603.46,452473.87,216600.26,452473.8,216597.06,452473.75,216578.4,452447.73,216580.59,452450.09,1,1
216603.5,452472.87,216600.3,452472.81,216597.1,452472.76,216579.16,452447.13,216581.38,452449.44,1,1
216603.55,452471.88,216600.35,452471.82,216597.14,452471.76,216579.82,452446.43,216582.09,452448.69,1,1
216603.59,452470.88,216600.39,452470.83,216597.19,452470.77,216580.48,452445.73,216582.8,452447.95,1,1
216603.63,452469.88,216600.43,452469.84,216597.23,452469.78,216581.15,452445.03,216583.5,452447.2,1,1
216603.68,452468.9,216600.47,452468.86,216597.27,452468.79,216581.81,452444.33,216584.2,452446.45,1,1
216603.72,452467.9,216600.52,452467.87,216597.32,452467.8,216582.46,452443.63,216584.91,452445.71,1,1
216603.76,452466.9,216600.56,452466.88,216597.36,452466.81,216583.04,452442.88,216585.53,452444.89,1,1
216603.81,452465.91,216600.6,452465.89,216597.4,452465.82,216583.62,452442.1,216586.14,452444.07,1,1
216603.85,452464.92,216600.65,452464.9,216597.44,452464.83,216584.19,452441.33,216586.75,452443.24,1,1
216603.89,452463.92,216600.69,452463.91,216597.49,452463.84,216584.76,452440.56,216587.36,452442.41,1,1
216603.94,452462.93,216600.73,452462.91,216597.53,452462.85,216585.33,452439.79,216587.97,452441.59,1,1
216603.98,452461.94,216600.78,452461.92,216597.57,452461.85,216585.9,452439.02,216588.58,452440.76,1,1
216604.02,452460.94,216600.82,452460.92,216597.62,452460.86,216586.47,452438.25,216589.19,452439.94,1,1
216604.07,452459.96,216600.86,452459.93,216597.66,452459.87,216586.84,452437.37,216589.63,452439.03,1,1
216604.11,452458.97,216600.91,452458.93,216597.7,452458.88,216587.17,452436.46,216589.98,452438.07,1,1
216604.14,452457.98,216600.93,452457.94,216597.73,452457.89,216587.5,452435.56,216590.33,452437.1,1,1
216604.16,452456.98,216600.96,452456.94,216597.76,452456.89,216587.82,452434.66,216590.68,452436.14,1,1
216604.19,452455.98,216600.98,452455.96,216597.78,452455.91,216588.15,452433.76,216591.03,452435.18,1,1
216604.21,452454.98,216601.01,452454.97,216597.81,452454.92,216588.46,452432.89,216591.38,452434.22,1,1
216604.24,452454,216601.04,452453.98,216597.84,452453.93,216588.76,452432.06,216591.72,452433.26,1,1
216604.26,452453.01,216601.06,452452.99,216597.86,452452.95,216589.05,452431.27,216592.07,452432.3,1,1
216604.29,452452.01,216601.09,452451.99,216597.89,452451.96,216589.32,452430.51,216592.42,452431.34,1,1
